"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:42:50.0074576 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60955 -> kubernetes.docker.internal:60954","SUCCESS","Length: 9, startime: 543881, endtime: 543881, seqnum: 0, connid: 0"
"5:42:50.0116014 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60954 -> kubernetes.docker.internal:60955","SUCCESS","Length: 1, startime: 543882, endtime: 543882, seqnum: 0, connid: 0"
"5:42:50.0142045 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:50.0287040 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 467, startime: 543883, endtime: 543883, seqnum: 0, connid: 0"
"5:42:50.0485297 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543885, endtime: 543885, seqnum: 0, connid: 0"
"5:42:50.0489449 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 429, startime: 543885, endtime: 543885, seqnum: 0, connid: 0"
"5:42:50.6930679 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60958 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 543950, endtime: 543950, seqnum: 0, connid: 0"
"5:42:50.7228854 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60962 -> kubernetes.docker.internal:60961","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:50.7232212 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60962 -> kubernetes.docker.internal:60961","SUCCESS","Length: 9, startime: 543953, endtime: 543953, seqnum: 0, connid: 0"
"5:42:50.7250772 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60961 -> kubernetes.docker.internal:60962","SUCCESS","Length: 1, startime: 543953, endtime: 543953, seqnum: 0, connid: 0"
"5:42:50.7266435 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:50.9726460 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 471, startime: 543978, endtime: 543978, seqnum: 0, connid: 0"
"5:42:51.0577166 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 543986, endtime: 543986, seqnum: 0, connid: 0"
"5:42:51.0580117 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 535, startime: 543986, endtime: 543986, seqnum: 0, connid: 0"
"5:42:52.2121342 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60963 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 544102, endtime: 544102, seqnum: 0, connid: 0"
"5:42:52.2192538 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60969 -> kubernetes.docker.internal:60968","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.2197800 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60969 -> kubernetes.docker.internal:60968","SUCCESS","Length: 9, startime: 544102, endtime: 544103, seqnum: 0, connid: 0"
"5:42:52.2229025 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60968 -> kubernetes.docker.internal:60969","SUCCESS","Length: 1, startime: 544103, endtime: 544103, seqnum: 0, connid: 0"
"5:42:52.2254685 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.2376053 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 471, startime: 544104, endtime: 544104, seqnum: 0, connid: 0"
"5:42:52.2767529 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544108, endtime: 544108, seqnum: 0, connid: 0"
"5:42:52.2773814 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 428, startime: 544108, endtime: 544108, seqnum: 0, connid: 0"
"5:42:52.7085567 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60970 -> kubernetes.docker.internal:https","SUCCESS","Length: 24, startime: 544151, endtime: 544151, seqnum: 0, connid: 0"
"5:42:52.7267414 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60971 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:52.7278122 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60971 -> kubernetes.docker.internal:https","SUCCESS","Length: 322, startime: 544153, endtime: 544153, seqnum: 0, connid: 0"
"5:42:52.7330490 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:60971 -> kubernetes.docker.internal:https","SUCCESS","Length: 80, startime: 544154, endtime: 544154, seqnum: 0, connid: 0"
"5:42:52.7331089 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:60972 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
